fecha,trm
2026-03-17,3691.90
2026-03-18,3689.97
2026-03-19,3704.17
2026-03-20,3692.48
2026-03-21,3704.87
2026-03-25,3700.67
2026-03-26,3688.46
2026-03-27,3675.29
2026-03-28,3668.89
2026-03-31,3669.96
2026-04-01,3660.10
2026-04-02,3675.81
2026-04-07,3664.41
2026-04-08,3678.19
2026-04-09,3640.63
2026-04-10,3642.93
2026-04-11,3631.49
2026-04-14,3608.10
2026-04-15,3578.82
2026-04-16,3603.19
2026-04-17,3615.10
2026-04-18,3593.14
2026-04-21,3573.30
2026-04-22,3576.05
2026-04-23,3568.88
2026-04-24,3560.62
2026-04-25,3551.17
2026-04-28,3593.17
2026-04-29,3633.76
2026-04-30,3621.86
2026-05-01,3637.51
2026-05-05,3707.58
2026-05-06,3723.33
2026-05-07,3706.44
2026-05-08,3729.27
2026-05-09,3747.10
2026-05-12,3759.00
2026-05-13,3775.07
2026-05-14,3794.91
2026-05-15,3784.70
2026-05-16,3796.78
2026-05-20,3796.87
2026-05-21,3730.49
2026-05-22,3701.37
2026-05-23,3667.06
2026-05-27,3644.47
2026-05-28,3631.57
2026-05-29,3646.58
2026-05-30,3678.15
2026-06-02,3560.24
2026-06-03,3562.00
2026-06-04,3572.85
2026-06-05,3565.32
2026-06-06,3588.09
2026-06-10,3581.46
2026-06-11,3567.11
2026-06-12,3513.54
2026-06-13,3475.72
2026-06-17,3427.07
2026-06-18,3439.91
2026-06-19,3459.53
2026-06-23,3406.14
2026-06-24,3425.95
2026-06-25,3428.32
2026-06-26,3433.71
2026-06-27,3443.59
2026-07-01,3440.83
2026-07-02,3403.35
2026-07-03,3357.82
2026-07-04,3334.93
2026-07-07,3350.68
2026-07-08,3335.50
2026-07-09,3339.65
2026-07-10,3305.38
2026-07-11,3248.87
2026-07-15,3252.11
2026-07-16,3233.91
2026-07-17,3221.41
2026-07-18,3262.58
2026-07-22,3238.19
2026-07-23,3206.86
2026-07-24,3219.31
2026-07-25,3210.56
2026-07-28,3205.80
2026-07-29,3205.87
2026-07-30,3206.18
2026-07-31,3132.42
2026-08-01,3144.14
2026-08-04,3230.44
2026-08-05,3204.51
2026-08-06,3179.40
2026-08-07,3157.43
2026-08-11,3125.47
2026-08-12,3121.07
2026-08-13,3123.28
2026-08-14,3127.51
2026-08-15,3128.65
2026-08-19,3098.79
2026-08-20,3053.48
2026-08-21,3062.96
2026-08-22,3048.12
2026-08-25,3056.51
2026-08-26,3081.67
2026-08-27,3118.24
2026-08-28,3144.28
2026-08-29,3202.79
2026-09-01,3213.97
2026-09-02,3184.00
2026-09-03,3140.55
2026-09-04,3141.36
2026-09-05,3126.08
2026-09-09,3116.47
2026-09-10,3099.48
2026-09-11,3101.00
2026-09-12,3072.27
2026-09-15,3109.30
